url_entropy,domain_extension
-4.859647825013719,1.0
-4.751391498686892,1.0
-4.926037429020076,1.0
-4.722435394086042,1.0
-4.8795258011130995,1.0
-3.3834651896016474,11.0
-3.819773835029478,46.0
-4.616458920947622,11.0
-3.653660689688186,11.0
-3.9031071683628116,46.0
-4.311953224613571,5.0
-4.053508854797679,46.0
-4.2744551302868965,5.0
-4.053508854797679,46.0
-3.7230741894285697,45.0
-3.7841837197791888,47.0
-4.794274764563713,1.0
-3.884183719779189,47.0
-4.8565647621309544,1.0
-3.884183719779189,47.0
-3.884183719779189,47.0
-3.831401845392172,1.0
-4.629003731107054,47.0
-3.8150724101159432,15.0
-3.884183719779189,47.0
-4.183465189601646,10.0
-3.7841837197791888,47.0
-3.884183719779189,47.0
-4.195816471537619,11.0
-3.7841837197791888,47.0
-3.884183719779189,47.0
-4.436006945330955,47.0
-3.9701755214643453,10.0
-3.6464393446710153,47.0
-4.185867302411999,45.0
-3.7841837197791888,47.0
-3.610577243331642,48.0
-3.884183719779189,47.0
-3.2841837197791888,11.0
-3.7841837197791888,47.0
-3.8833374604210067,49.0
-3.5464393446710156,47.0
-3.884183719779189,47.0
-3.967720100474499,11.0
-3.7464393446710154,47.0
-4.031401845392172,45.0
-3.884183719779189,47.0
-3.6800893536948065,15.0
-3.884183719779189,47.0
-3.884183719779189,47.0
-3.5391486719030705,11.0
-3.884183719779189,47.0
-4.140319531114783,11.0
-3.7841837197791888,47.0
-3.782122224145305,50.0
-3.884183719779189,47.0
-3.884183719779189,47.0
-4.401076880026372,49.0
-3.584183719779189,47.0
-4.2527152789797045,51.0
-3.7841837197791888,47.0
-3.819773835029478,15.0
-3.7841837197791888,47.0
-3.824533406881912,11.0
-3.884183719779189,47.0
-4.023136955868885,10.0
-3.6464393446710153,47.0
-4.323231428797621,51.0
-3.884183719779189,47.0
-5.305709328715851,17.0
-3.7841837197791888,47.0
-4.206225920256957,51.0
-3.542481250360578,11.0
-3.7464393446710154,47.0
-4.031587907627833,11.0
-3.884183719779189,47.0
-3.7256507561120937,15.0
-3.7841837197791888,47.0
-3.7841837197791888,47.0
-4.104302931775617,52.0
-3.884183719779189,47.0
-4.2430101595548555,11.0
-3.684183719779189,47.0
-3.783465189601647,45.0
-3.7464393446710154,47.0
-3.6211755429194707,53.0
-3.95006375643621,1.0
-4.688956911958716,17.0
-4.548413802385722,17.0
-4.689049518800369,17.0
-4.660775605889718,17.0
-4.6092918267537435,17.0
-4.790997043531412,17.0
-4.629374286396269,17.0
-4.571241170818225,17.0
-4.7463453993469855,17.0
-4.63567040777632,17.0
-4.790664608976914,17.0
-4.74623093958718,17.0
-4.688010931934974,17.0
-4.824644218388485,17.0
-4.643108854874619,17.0
-4.69752739943295,17.0
-4.667928472292449,17.0
-4.600461007128883,17.0
-4.7442035683118124,17.0
-4.757048827786958,17.0
-4.7242384298164914,17.0
-4.603922633144075,17.0
-4.6110079365134125,17.0
-4.641381772993545,17.0
-4.718820387022781,17.0
-4.5988688542816805,17.0
-4.532635493052324,17.0
-4.628699383493585,17.0
-4.570479375841377,17.0
-4.702969255766475,17.0
-4.64717110974724,17.0
-4.788954706550681,17.0
-4.516353460281843,17.0
-4.5711542787440615,17.0
-3.7841837197791888,47.0
-3.813660689688186,10.0
-3.7841837197791888,47.0
-3.2210972500579573,11.0
-3.7841837197791888,47.0
-4.106377316818026,42.0
-4.762188403968661,42.0
-3.7464393446710154,47.0
-4.106377316818026,45.0
-3.7464393446710154,47.0
-3.8132065289617665,11.0
-3.7841837197791888,47.0
-4.1162646156680225,51.0
-3.884183719779189,47.0
-3.81008102052173,45.0
-3.7464393446710154,47.0
-4.105388542207534,10.0
-3.6464393446710153,47.0
-3.6289280318460246,49.0
-3.884183719779189,47.0
-4.7670456442700555,2.0
-3.964857659740296,1.0
-3.9077148025974386,1.0
-3.886146588249911,1.0
-3.8471282101364257,11.0
-3.661932872373582,11.0
-3.2501026694564064,11.0
-3.394552096489374,11.0
-4.041108871665959,11.0
-4.048688113203416,11.0
-3.990017217489903,11.0
-3.4397106501513597,11.0
-3.56610893983748,11.0
-3.587858798299508,11.0
-4.099128821259931,11.0
-3.827819531114783,1.0
-3.5077516472406156,11.0
-3.8330709070912796,1.0
-3.8330709070912796,1.0
-3.716630891786866,1.0
-3.600190876482453,11.0
-3.8330709070912796,1.0
-3.600190876482453,11.0
-3.8330709070912796,1.0
-4.2251520839481795,11.0
-3.964735178725505,11.0
-3.923231428797621,11.0
-3.7362434129830606,11.0
-3.5836169753972325,11.0
-3.7024715122197467,11.0
-3.7024715122197467,11.0
-3.8404025467025056,11.0
-3.6820058147602133,11.0
-3.7534343861887844,11.0
-3.6820058147602133,11.0
-3.7534343861887844,11.0
-3.7534343861887844,11.0
-3.7534343861887844,11.0
-3.6820058147602133,11.0
-3.6820058147602133,11.0
-3.7534343861887844,11.0
-3.7534343861887844,11.0
-3.6820058147602133,11.0
-4.031401845392172,11.0
-3.8980685120588388,11.0
-3.8464393446710154,1.0
-3.7464393446710154,1.0
-3.6841837197791887,1.0
-3.8464393446710154,1.0
-3.7464393446710154,1.0
-3.7464393446710154,1.0
-3.6464393446710153,1.0
-3.7464393446710154,1.0
-3.7464393446710154,1.0
-3.6464393446710153,1.0
-3.8464393446710154,1.0
-3.8464393446710154,1.0
-3.6841837197791887,1.0
-3.7464393446710154,1.0
-3.7464393446710154,1.0
-3.7464393446710154,1.0
-3.6464393446710153,1.0
-3.6464393446710153,1.0
-3.7464393446710154,1.0
-3.7464393446710154,1.0
-3.7464393446710154,1.0
-3.884183719779189,1.0
-3.7946534735443422,1.0
-3.683542362433231,1.0
-3.683542362433231,1.0
-3.7946534735443422,1.0
-3.683542362433231,1.0
-3.5304930567574826,1.0
-3.683542362433231,1.0
-3.683542362433231,1.0
-3.6416041678685938,1.0
-3.6416041678685938,1.0
-3.6416041678685938,1.0
-3.683542362433231,1.0
-3.5304930567574826,1.0
-3.57243125132212,1.0
-3.683542362433231,1.0
-3.7946534735443422,1.0
-3.6537567082870015,32.0
-3.3603059777020796,11.0
-3.435755433941627,11.0
-3.683542362433231,1.0
-3.683542362433231,1.0
-3.683542362433231,1.0
-3.57243125132212,1.0
-3.7946534735443422,1.0
-3.836591668108979,1.0
-3.836591668108979,1.0
-3.836591668108979,1.0
